id,id_kompetisi,capaian,skala_kompetisi,kategori_peserta,waktu_selesai,last_update,waktu_mulai,nama_kegiatan,jenis_kegiatan,lembaga_penyelenggara,kategori_capaian,kategori_penghargaan,is_pusprenas,status_validasi
5676,3B3BEB1B-7FB2-49FC-B016-9AA38653AAB9,Peserta,Nasional,Individu,2023-04-16,2023-12-22,2023-03-19,Lomba Fotografi Ramadhan di Kampus UGM 1444 H,Lomba Mandiri atau Umum,UKM Jama'ah Shalahuddin UGM,Apresiasi,Apresiasi,0,2
5677,B54AC771-1626-4786-A8A4-53CB29B12012,Proposal didanai,Nasional,Kelompok,2021-09-20,2023-12-22,2021-06-01,Program Kreativitas Mahasiswa (PKM) Skema PKMGT,Program Kreativitas Mahasiswa (PKM),"Kementerian Pendidikan, Budaya, Riset, dan Teknologi",Apresiasi,Apresiasi,1,2
5678,0F621773-AC14-4D6B-B776-6529C0646D9A,Peserta,Lokal,Kelompok,2021-09-20,2023-12-22,2021-08-15,"INDUCTION: ""INDSYS Business Plan Competition""",Lomba Mandiri atau Umum,BEM FTIRS ITS,Apresiasi,Apresiasi,0,2
5679,B5A93775-B938-4707-B893-9AC6675DEC2A,Juara 3/perunggu,Internasional,Kelompok,2023-11-23,2023-12-22,2023-09-12,International Paper Competition,Lomba Mandiri atau Umum,UIN Ar-Raniry Banda Aceh,Juara,Juara 3,0,2
5680,EC2CDE0C-B1E1-4AEE-B09F-8AA58545988A,Juara 2/perak,Nasional,Individu,2021-11-28,2023-12-22,2021-11-08,Business Idea Competition BOBA Summit 2021 Amreta Team,Lomba Mandiri atau Umum,GAMPI (Gerakan Anak Muda Produktif),Juara,Juara 2,0,2
5681,6D73EF00-FC25-47F2-93BC-9B94B5074BBD,Peserta Liga PKM ITS,Lokal,Kelompok,2023-03-25,2023-12-22,2023-01-26,Liga PKM ITS,Program Kreativitas Mahasiswa (PKM),Institut Teknologi Sepuluh Nopember,Apresiasi,Apresiasi,1,2
5682,3E87E0FA-D074-4CC8-89AA-8F240D17CF09,Juara 1/emas,Nasional,Kelompok,2021-11-06,2023-12-22,2021-09-16,Seminar Business Competition,Lomba Mandiri atau Umum,Student Entrepreneur Center FIA Universitas Brawijaya,Juara,Juara 1,0,2
5683,1B8FB6CD-358A-405E-A5E4-9BC5DCE79FE1,Peserta,Nasional,Individu,2021-11-27,2023-12-22,2021-10-25,Lomba FSRD UNESA Sinestesia 4,Lomba Mandiri atau Umum,UNESA,Apresiasi,Apresiasi,0,2
5684,6C475D26-D4E4-453B-9BAC-9E6A903F80AE,Finalis,Internasional,Kelompok,2021-11-06,2023-12-22,2021-10-10,IMBUSION ( International Management Business Case Competition),Lomba Mandiri atau Umum,HMJ Manajemen Universitas Negeri Surabaya collaboration with Universiti Teknologi MARA Malaysia,Apresiasi,Apresiasi,0,2
5685,3E836DC3-D84A-4D04-8BAE-C34FE0B6E646,Peserta,Nasional,Kelompok,2021-11-07,2023-12-22,2021-09-02,Bionix college Level,Lomba Mandiri atau Umum,Information System Expo,Apresiasi,Apresiasi,0,2
5686,E7084ECC-24CE-4FD7-B3E5-9C0F7BD8DBE6,Juara 1/emas,Nasional,Kelompok,2023-05-30,2023-12-22,2023-05-18,HI-Fest 5.0,Lomba Mandiri atau Umum,Universitas Muhammadiyah Malang,Juara,Juara 1,0,2
5687,CB9F7D13-B9D7-4A0F-88B8-3A226C346F1D,Peserta,Nasional,Kelompok,2021-09-02,2023-12-22,2021-08-02,INFEST Trading Competition 2021,Lomba Mandiri atau Umum,Institut Teknologi Bandung,Apresiasi,Apresiasi,0,2
5688,A24B7DB0-9C96-4820-8902-449DA097DBC3,Finalis,Nasional,Kelompok,2021-11-28,2023-12-22,2021-09-25,Geotechnical Engineering Competition,Lomba Mandiri atau Umum,Departement Teknik Sipil ITS,Apresiasi,Apresiasi,0,2
5689,8BBAAA15-88D3-41E0-B79D-44EB2C6F4A42,Finalis,Nasional,Kelompok,2021-11-28,2023-12-22,2021-09-27,RUBRIK ESSAY COMPETITION,Lomba Mandiri atau Umum,"FAKULTAS TEKNIK, UNIVERSITAS BRAWIJAYA",Apresiasi,Apresiasi,0,2
5690,F7625F6A-2EA0-477D-80E8-5EBF1F105FB3,Juara 1/emas,Nasional,Kelompok,2021-08-25,2023-12-22,2021-08-24,"DINAMIC : ""Mind Transformation in Society 5.0""",Lomba Mandiri atau Umum,KSPM Fakultas Ekonomi dan Bisnis Universitas Diponegoro,Juara,Juara 1,0,2
5691,FC23044E-7F9E-483A-875D-72115F190E2D,Peserta,Nasional,Individu,2021-09-19,2023-12-22,2021-09-19,ITS CHESS TOURNAMENT 2021,Olahraga,UKM CATUR ITS,Apresiasi,Apresiasi,0,2
5692,8EFC5457-77A3-4196-B7ED-7FEABBDE741A,Juara 1/emas,Nasional,Individu,2021-10-16,2023-12-22,2021-09-24,Lomba Esai Mahakarya Logista IX,Lomba Mandiri atau Umum,Universitas Andalas,Juara,Juara 1,0,2
5693,6B23D323-72EF-46FE-8D55-B6C4A6FDFD9F,Peserta,Nasional,Individu,2021-09-19,2023-12-22,2021-08-26,ICT 2021 (ITS Chess Tournament),Olahraga,UCITS (UKM CATUR ITS),Apresiasi,Apresiasi,0,2
